ISIN,ISIN Description
INE051U01013,JUTURNA DEVELOPERS PRIVATE LIMITED
INE597T01017,JUVENILE ESTATE DEVELOPERS PRIVATE LIMITED
INE09Z101011,JUVENTUD DIGITAL MEDIA PRIVATE LIMITED
INE09Z103025,JUVENTUD DIGITAL MEDIA PRIVATE LIMITED
INE09Z103033,JUVENTUD DIGITAL MEDIA PRIVATE LIMITED
INE413P01015,JUVENTUS ESTATE LIMITED
INE413P08010,JUVENTUS ESTATE LIMITED
INE686T01018,JV HOLDING PRIVATE LIMITED
IN8430G01017,JVL AGRO INDUSTRIES LIMITED
INE430G01026,JVL AGRO INDUSTRIES LIMITED
INE0KN001028,JVRX ASSET MANAGEMENT PRIVATE LIMITED
INE0KN001036,JVRX ASSET MANAGEMENT PRIVATE LIMITED
INE02XO01018,JWALAMUKHI INVESTMENT & TRADING CO LTD
INE05PA01016,JWALYA WINDS PRIVATE LIMITED
INE05PA08011,JWALYA WINDS PRIVATE LIMITED
INE00CS01017,JWC LOGISTICS PARK PRIVATE LIMITED
INE02F701019,JWIL INFRA LIMITED
INE00F001016,JWL COLD STORE PRIVATE LIMITED
INE0KZ601013,JWL DAKO-CZ (INDIA) LIMITED
INE0K6X01015,JWL KOVIS (INDIA) PRIVATE LIMITED
INE00EZ01018,JWR LOGISTICS PRIVATE LIMITED
INE043R01016,JYOT INTERNATIONAL MARKETING LIMITED
IN8043R01015,JYOT INTERNATIONAL MARKETING LIMITED
IN8681K01017,JYOTHI INFRAVENTURES LIMITED
IN8681K01025,JYOTHI INFRAVENTURES LIMITED
INE681K01018,JYOTHI INFRAVENTURES LIMITED
INE681K01026,JYOTHI INFRAVENTURES LIMITED
INE756P01017,JYOTHY FABRICARE SERVICES LIMITED
INE756P03021,JYOTHY FABRICARE SERVICES LIMITED
INE756P03039,JYOTHY FABRICARE SERVICES LIMITED
INE668F01031,JYOTHY LABS LIMITED
IN8668F01014,JYOTHY LABS LIMITED
INE063101013,JYOTI AGRICULTURAL EXPORTS LIMITED
INE502Y01017,JYOTI BUILDTECH PRIVATE LIMITED
INE0GHJ01013,JYOTI BUSINESS LTD
INE980O01016,JYOTI CNC AUTOMATION LIMITED
INE977N01014,JYOTI ENVIROTECH PRIVATE LIMITED
INE0D9P01014,JYOTI INSTALMENTS PRIVATE LIMITED
INE0DI701011,JYOTI INTERNATIONAL FOODS PRIVATE LIMITED
INE511D01012,JYOTI LIMITED
IN8511D01011,JYOTI LIMITED
INE03AD01017,JYOTI LIMITED
INE432D01011,JYOTI OVERSEAS LIMITED
IN8432D01010,JYOTI OVERSEAS LIMITED
INE04V201018,JYOTI PORTFOLIO PRIVATE LIMITED
IN8577D01012,JYOTI RESINS AND ADHESIVES LTD
INE577D01013,JYOTI RESINS AND ADHESIVES LTD
INE0F1A01011,JYOTI RUBBER UDYOG (INDIA) LIMITED
INE216Y01014,JYOTI SOLAR SOLUTIONS PRIVATE LIMITED
IN8197A01015,JYOTI STRUCTURES LIMITED
IN9197A01014,JYOTI STRUCTURES LIMITED
INE197A01024,JYOTI STRUCTURES LIMITED
INE197A03012,JYOTI STRUCTURES LIMITED
INE197A04010,JYOTI STRUCTURES LIMITED
INE197A07039,JYOTI STRUCTURES LIMITED
INE197A07047,JYOTI STRUCTURES LIMITED
INE197A07054,JYOTI STRUCTURES LIMITED
INE197A07062,JYOTI STRUCTURES LIMITED
INE197A07070,JYOTI STRUCTURES LIMITED
INE197A07088,JYOTI STRUCTURES LIMITED
INE197A07096,JYOTI STRUCTURES LIMITED
INE197A07104,JYOTI STRUCTURES LIMITED
INE08CK01017,JYOTIKIRAN ENERGY BHILWARA PRIVATE LIMITED
INE09LZ01014,JYOTIKIRAN ENERGY OKHLA PRIVATE LIMITED
INE09LY01017,JYOTIKIRAN ENERGY PRIVATE LIMITED
INE805R01018,JYOTIRGAMYA ENTERPRISES LIMITED
IN8805R01017,JYOTIRGAMYA ENTERPRISES LIMITED
INE0A3O01013,JYOTSANA INVESTMENT COMPANY LIMITED
IN80A3O01014,JYOTSANA INVESTMENT COMPANY LIMITED
INE00JC01016,JYOTSNA HOLDING PRIVATE LIMITED
IN8372S01016,K A WIRES LIMITED
INE372S01017,K A WIRES LIMITED
INE0LYR01011,K AND D COMMUNICATION LIMITED
INE0LYH01012,K AND D PROJECT TECHNOLOGIES LIMITED
INE05NI01014,K B COATINGS LIMITED
INE0J9I01013,K C HOLDINGS PRIVATE LIMITED
INE0L2301011,K D R SPINNING AND WEAVING MILLS LIMITED
INE098Q01012,K D TREND WEAR LIMITED
IN8098Q01011,K D TREND WEAR LIMITED
INE02BH01018,K I C RESOURCES LTD
INE0F6201011,K J SOMAIYA AND SONS PRIVATE LIMITED
INE0BDI01015,K K CAPITAL SERVICES LIMITED
INE0K8O01010,K K CHEMPRO (INDIA) PRIVATE LIMITED
INE509J01013,K K FINCORP LIMITED
IN8509J01012,K K FINCORP LIMITED
INE0DV401011,K K K HYDRO POWER LIMITED
INE0HFY01014,K K PLASTIC WASTE MANAGEMENT LIMITED
INE08C201017,K K ROPEWAYS LIMITED
INE052401010,K K SECURITIES LIMITED
INE052404014,K K SECURITIES LIMITED
INE0EOJ01014,K K SILK MILLS LIMITED
INE06GI01016,K L G SECURITIES LIMITED
INE0AVE01018,K L M STEEL PIPE PRIVATE LIMITED
INE0MGX01014,K M R TRADING & INVESTMENT COMPANY PRIVATE LIMITED
INE0NQ901015,K M VYAPAR LIMITED
INE0IFK01011,K N S INFRACON PRIVATE LIMITED
INE0IFK07018,K N S INFRACON PRIVATE LIMITED
INE0HKP01012,K P J CONCAST LIMITED
INE0P9S01014,K R FINVEST LIMITED
INE0BCQ01010,K R PULP AND PAPERS LIMITED
INE053J01012,K RAHEJA CORP PRIVATE LIMITED
INE250V01019,K RAHEJA CORP REAL ESTATE PRIVATE LIMITED
INE01FX01018,K S SUBBIAH PILLAI & COMPANY (INDIA) PRIVATE LIMITED
INE0CYV01012,K SERA SERA BOX OFFICE PRIVATE LIMITED
INE0CWF01019,K SERA SERA CINEMA FACILITY MANAGEMENT PVT LTD
INE0CWE01012,K SERA SERA DIGITAL CINEMA LIMITED
INE079O01017,K STEAMSHIP AGENCIES PVT LTD
INE261V01016,K WORLD ESTATE PRIVATE LIMITED
IN8006C01014,K Z LEASING AND FINANCE LTD.
INE006C01015,K Z LEASING AND FINANCE LTD.
INE078T01026,K&R RAIL ENGINEERING LIMITED
INE078T03014,K&R RAIL ENGINEERING LIMITED
INE078T13021,K&R RAIL ENGINEERING LIMITED
IN8078T01025,K&R RAIL ENGINEERING LIMITED
IN8218A01019,K-LIFESTYLE & INDUSTRIES LIMITED
IN9218A01026,K-LIFESTYLE & INDUSTRIES LIMITED
INE218A01028,K-LIFESTYLE & INDUSTRIES LIMITED
INE0HSM01012,K-LOUNGE LIFESTYLE LIMITED
INE0KU901012,K. A. MALLE PHARMACEUTICALS LIMITED
INE0B7U01010,K. C. INTERNATIONAL LIMITED
INE0BM201018,K. C. TEXTILES LIMITED
IN8104A01011,K. G. DENIM LIMITED
INE104A01012,K. G. DENIM LIMITED
INE998S01019,K. L. J. POLYMERS AND CHEMICALS LIMITED
INE183S01018,K. M. INDUSTRIAL INVESTMENTS LIMITED
INE157H01023,K. M. SUGAR MILLS LIMITED
IN8157H01014,K. M. SUGAR MILLS LIMITED
INE02AQ01011,K. P. WOVEN PRIVATE LIMITED
INE02AQ01029,K. P. WOVEN PRIVATE LIMITED
INE01I101010,K. RAHEJA CORPORATE SERVICES PRIVATE LIMITED
INE727D01022,K. S. OILS LIMITED
INE727D04026,K. S. OILS LIMITED
IN8727D01013,K. S. OILS LIMITED
INE0G9U01011,K.B. POLYCHEM (INDIA) LIMITED
INE0B7D01016,K.C. FIBRES LIMITED
INE0ILE01012,K.C. TEXOFINE PVT. LTD.
INE0M2801018,K.H. EDUCATIONAL FOUNDATION
INE0M3O01019,K.H. FOUNDATION
INE07GC01017,K.K.COLOR ACCURATES LIMITED
INE0IZ301014,K.K.R.ENT HOSPITAL AND RESEARCH INSTITUTE PRIVATE LIMITED
INE380X01010,K.L.F. NIRMAL INDUSTRIES PRIVATE LIMITED
INE380X08015,K.L.F. NIRMAL INDUSTRIES PRIVATE LIMITED
INE0JR707037,K.M. GLOBAL CREDIT PRIVATE LIMITED
INE0JR707045,K.M. GLOBAL CREDIT PRIVATE LIMITED
INE0H7801013,K.P ENERGY MAHUA WINDFARMS PRIVATE LIMITED
INE127T01021,K.P.ENERGY LIMITED
IN8127T01012,K.P.ENERGY LIMITED
IN8127T01020,K.P.ENERGY LIMITED
INE0KIC01018,K.P.H. DREAM CRICKET PRIVATE LIMITED
INE08AV01018,K.P.R. DEVELOPERS LIMITED
IN8930H01022,K.P.R. MILL LIMITED
IN8930H01030,K.P.R. MILL LIMITED
INE930H01031,K.P.R. MILL LIMITED
INE024O01013,K.P.R.AGROCHEM LIMITED
INE0G8207014,K.R.P. INDUSTRIES LIMITED
INE688T01014,K.RAHEJA IT PARK (HYDERABAD) LIMITED
INE0JK601013,K.RAHEJA PRIVATE LIMITED
INE0N5T01012,K.S. COMMODITIES PRIVATE LIMITED
INE881I01018,K.S.REALTY CONSTRUCTIONS PRIVATE LIMITED
INE069M01012,K.T.V. HEALTH FOOD PRIVATE LIMITED
INE635S01017,K12 TECHNO SERVICES PRIVATE LIMITED
INE635S03013,K12 TECHNO SERVICES PRIVATE LIMITED
INE0DEZ01013,K2 INFRAGEN PRIVATE LIMITED
INE441B01024,K2 SYSTEMS LIMITED
IN8441B01023,K2 SYSTEMS LIMITED
INE0O2T01018,K2K INFRASTRUCTURE INDIA PRIVATE LIMITED
INE0OW901016,KA HOSPITALITY PRIVATE LIMITED
INE031101012,KAALBI TECHNOLOGIES PRIVATE LIMITED
INE0BIM01016,KAALIKAA INVESTECKK LIMITED
INE175X01014,KAAR TECHNOLOGIES INDIA PRIVATE LIMITED
INE175X07011,KAAR TECHNOLOGIES INDIA PRIVATE LIMITED
IN8282Y01015,KAARYA FACILITIES AND SERVICES LIMITED
INE282Y01016,KAARYA FACILITIES AND SERVICES LIMITED
INE09Z201019,KAAS FOOTWEAR INDUSTRIES PRIVATE LIMITED
INE09Z201027,KAAS FOOTWEAR INDUSTRIES PRIVATE LIMITED
INE09Z208014,KAAS FOOTWEAR INDUSTRIES PRIVATE LIMITED
INE397B01028,KAASHYAP TECHNOLOGIES LIMITED
IN8397B01019,KAASHYAP TECHNOLOGIES LIMITED
INE0JHE01018,KABEL BUILDCON SOLUTIONS PRIVATE LIMITED
INE268D01019,KABIRDAS INVESTMENTS LIMITED
IN8268D01018,KABIRDAS INVESTMENTS LIMITED
INE130K01016,KABIRDASS MOTOR COMPANY LIMITED
INE09EN01015,KABLE FIRST INDIA PRIVATE LIMITED
INE926E01010,KABRA COMMERCIAL LIMITED
IN8926E01019,KABRA COMMERCIAL LIMITED
INE323K01017,KABRA DRUGS LIMITED
IN8323K01016,KABRA DRUGS LIMITED
INE900B01029,KABRA EXTRUSION TECHNIK LIMITED
INE900B13016,KABRA EXTRUSION TECHNIK LIMITED
INE900B13024,KABRA EXTRUSION TECHNIK LIMITED
IN8900B01010,KABRA EXTRUSION TECHNIK LIMITED
INE05G801013,KABRA MECANOR BELLING TECHNIK PRIVATE LIMITED
INE645C01010,KABSONS INDUSTRIES LIMITED
IN8645C01019,KABSONS INDUSTRIES LIMITED
IN8059E01019,KACHCHH MINERALS LIMITED
INE059E01010,KACHCHH MINERALS LIMITED
INE926N01011,KACHCHH STEELS PRIVATE LIMITED
INE087901018,KADAIESHWAR HOMEFIN PRIVATE LIMITED
INE087903014,KADAIESHWAR HOMEFIN PRIVATE LIMITED
INE474Z01016,KADAM DEVELOPERS PRIVATE LIMITED
INE0LUW01019,KADAM MARKETING LIMITED
INE0O8301019,KADAMBA TECHNOLOGIES PRIVATE LIMITED
INE03PA01011,KADAMBINI UDYOG LIMITED
INE102W01010,KADAPA MSW PRIVATE LIMITED
INE0IDU01015,KADAVAKALLU WIND ENERGY LIMITED
INE0N9Z01011,KADIMI ORGANICS LIMITED
INE0GY201019,KADOLI INVESTMENTS LIMITED
INE0AML01012,KAFILA FORGE LIMITED
INE936R01011,KAGAZ FINLEASE LIMITED
INE0K4A01018,KAHA TECHNOLOGIES PRIVATE LIMITED
INE04T901017,KAHAN PACKAGING LIMITED
INE0EBQ01016,KAI FINCAP LIMITED
INE006D01013,KAIL LIMITED
IN8410O01021,KAILASH AUTO FINANCE LIMITED
INE410O01022,KAILASH AUTO FINANCE LIMITED
INE0JEK01012,KAILASH CHEMICALS PRIVATE LIMITED
INE06YT01016,KAILASH COAL AND COKE COMPANY LIMITED
INE0EIR01019,KAILASH DAIRY LIMITED
INE695P01017,KAILASH DWELLERS PRIVATE LIMITED
INE0BMN01016,KAILASH HEALTHCARE LIMITED
INE0B6X01016,KAILASH HOSPITALS LIMITED
INE0O4A01014,KAILASH IMPEX LTD
INE07OI01018,KAILASH INDUSTRIES LIMITED
INE07OI04012,KAILASH INDUSTRIES LIMITED
INE0M2601012,KAILASH MOTORS FINANCE PRIVATE LIMITED
INE962R01017,KAILASH VAHN PRIVATE LIMITED
INE07W301012,KAILASH VIDYUT & ISPAT LIMITED
INE07W304016,KAILASH VIDYUT & ISPAT LIMITED
INE07W304024,KAILASH VIDYUT & ISPAT LIMITED
INE0G5N01014,KAINOPHARM LIMITED
IN8375D01011,KAIRA CAN COMPANY LIMITED
INE375D01012,KAIRA CAN COMPANY LIMITED
INE192W01011,KAIRA FOODS PRIVATE LIMITED
INE05TK01017,KAIRAV CHEMICALS LIMITED
INE05TK03013,KAIRAV CHEMICALS LIMITED
INE0JX401013,KAIRAV DEVELOPERS LIMITED
INE0JX408018,KAIRAV DEVELOPERS LIMITED
INE0JX408026,KAIRAV DEVELOPERS LIMITED
INE09BC01014,KAIROS PROPERTY MANAGERS PRIVATE LIMITED
INE09BC08019,KAIROS PROPERTY MANAGERS PRIVATE LIMITED
INE09BC08027,KAIROS PROPERTY MANAGERS PRIVATE LIMITED
INE09BC08035,KAIROS PROPERTY MANAGERS PRIVATE LIMITED
INE229G01022,KAISER CORPORATION LIMITED
IN8229G01021,KAISER CORPORATION LIMITED
INE0F6X01012,KAISER INDUSTRIES LTD
INE0B9O01019,KAISONS HOUSING CORPORATION LIMITED
INE972R01016,KAITHAL TOLLWAY  LIMITED
INE972R07013,KAITHAL TOLLWAY  LIMITED
INE128H01016,KAIZEN COMMERCIAL PRIVATE LIMITED
INE0MRZ01016,KAIZEN CORPORATE SERVICES LIMITED
INE05Q701013,KAIZEN HOTELS & RESORTS LIMITED
INE05Q704017,KAIZEN HOTELS & RESORTS LIMITED
INE479N01011,KAIZEN POWER LIMITED
INE0FVL01012,KAIZER CONSTRUCTION COMPANY LTD
INE956V01011,KAJAL SYNTHETICS AND SILK MILLS LIMITED
IN8956V01010,KAJAL SYNTHETICS AND SILK MILLS LIMITED
INE01HA01012,KAJARIA BATHWARE PRIVATE LIMITED
INE01HA03018,KAJARIA BATHWARE PRIVATE LIMITED
IN8217B01027,KAJARIA CERAMICS LIMITED
INE217B01036,KAJARIA CERAMICS LIMITED
INE03PB01019,KAJARIA FLOERA CERAMICS PRIVATE LIMITED
INE02LI01015,KAJARIA PLYWOOD PRIVATE LIMITED
INE076401012,KAJARIA SANITARYWARE PRIVATE LIMITED
INE02K701012,KAJARIA YARNS & TWINES LTD
INE0P3N01018,KAKA INDUSTRIES LIMITED
INE0KO801012,KAKAR TRADE CHEM LIMITED
INE0P1J15010,KAKASHI TRUST JAN 2023
IN8437B01013,KAKATIYA CEMENT SUGAR & INDUSTRIES LIMITED
INE437B01014,KAKATIYA CEMENT SUGAR & INDUSTRIES LIMITED
INE06DB01018,KAKATIYA INDUSTRIES PRIVATE LIMITED
INE0AUB01016,KAKATIYA INSTITUTE OF ONCOLOGY PRIVATE LIMITED
IN8092E01010,KAKATIYA TEXTILES LIMITED
INE092E01011,KAKATIYA TEXTILES LIMITED
INE07N201015,KAKINADA GATEWAY PORT LIMITED
INE0GIK01019,KAKINADA INFRASTRUCTURE HOLDINGS PRIVATE LIMITED
INE920M01016,KAKINADA MARINE & OFFSHORE COMPLEX LIMITED
INE170L01010,KAKINADA REFINERY & PETROCHEMICALS PRIVATE LIMITED
INE183M01011,KAKINADA SEAPORTS LIMITED
INE303K01019,KAKINADA SEZ LIMITED
INE303K08014,KAKINADA SEZ LIMITED
INE0FV301011,KAKINADA SMART CITY CORPORATION LIMITED
INE07N401011,KAKKOJI FOODTECH LIMITED
INE216L01011,KAL AIRWAYS PRIVATE LIMITED
INE06UD01018,KAL RADIO LIMITED
INE06UD03014,KAL RADIO LIMITED
INE0CPB01012,KALA BHAVAN STUDIOS LTD
IN90CPB01010,KALA BHAVAN STUDIOS LTD
INE0IGP01018,KALAGURU FINSERV LIMITED
INE02M801018,KALAHRIDHAAN TRENDZ LIMITED
INE04C001015,KALAKRUTI REAL ESTATES PRIVATE LIMITED
INE337T01018,KALANIKETHAN FASHIONS LIMITED
INE337T08021,KALANIKETHAN FASHIONS LIMITED
INE354T01013,KALANIKETHAN SILKS LIMITED
INE354T08026,KALANIKETHAN SILKS LIMITED
INE06D001012,KALANJIAM DEVELOPMENT FINANCIAL SERVICES
INE02HW01014,KALAVAKURU ESTATES PRIVATE LIMITED
INE0L6E01014,KALBROS IRON AND STEELS LIMITED
INE0JSQ01019,KALCHINI ENTERPRISES LIMITED
INE0IJR01018,KALCHURI CONTRACTORS LIMITED.
IN90CIM01012,KALE LOGISTICS SOLUTIONS PRIVATE LIMITED
INE0CIM01014,KALE LOGISTICS SOLUTIONS PRIVATE LIMITED
INE0CIM03010,KALE LOGISTICS SOLUTIONS PRIVATE LIMITED
INE0CIM03028,KALE LOGISTICS SOLUTIONS PRIVATE LIMITED
INE0CIM03036,KALE LOGISTICS SOLUTIONS PRIVATE LIMITED
INE0FW701011,KALEESUWARI REFINERY AND INDUSTRY PRIVATE LIMITED
INE0FW703017,KALEESUWARI REFINERY AND INDUSTRY PRIVATE LIMITED
INE554W01012,KALEESUWARI REFINERY PRIVATE LIMITED
INE02BE01015,KALEIDOSCOPE DEVELOPERS PRIVATE LIMITED
INE02BE01023,KALEIDOSCOPE DEVELOPERS PRIVATE LIMITED
INE02BE01031,KALEIDOSCOPE DEVELOPERS PRIVATE LIMITED
INE02BE07012,KALEIDOSCOPE DEVELOPERS PRIVATE LIMITED
INE01JS01010,KALGOV LABS LIMITED
INE861R01011,KALHAAR BLUES AND GREENS GOLF CLUB PRIVATE LIMITED
INE0MTU01013,KALIBRANT TRADES PRIVATE LIMITED
INE0AAP01018,KALIMPONG PRODUCE COMPANY LIMITED
IN80AAP01017,KALIMPONG PRODUCE COMPANY LIMITED
INE03E601011,KALINA WAREHOUSING PRIVATE LIMITED
INE03E607018,KALINA WAREHOUSING PRIVATE LIMITED
INE03E608016,KALINA WAREHOUSING PRIVATE LIMITED
INE03E608024,KALINA WAREHOUSING PRIVATE LIMITED
INE0CGO01014,KALINGA COMMERCIAL CORPORATION LIMITED
INE0CHX01013,KALINGA ENERGY & POWER LIMITED
INE059R01012,KALINGA FERRO ISPAT PRIVATE LIMITED
INE327Y01019,KALINGA HOSPITAL LIMITED
INE0AIB01011,KALINGA INFRA-PROJECTS LIMITED
INE00JF01019,KALINGA INTERNATIONAL COAL TERMINAL PARADIP PRIVATE LIMITED
INE00JF03015,KALINGA INTERNATIONAL COAL TERMINAL PARADIP PRIVATE LIMITED
INE00JF03023,KALINGA INTERNATIONAL COAL TERMINAL PARADIP PRIVATE LIMITED
INE0EBD01014,KALINGA METALICS LIMITED
INE0L1T01013,KALINGA REALTORS LIMITED
INE0JP301015,KALKA LIQUORS (INDIA) LIMITED
INE0JPM01014,KALKA RESTAURANTS LIMITED
INE990M01019,KALKI COMMUNICATION TECHNOLOGIES PRIVATE LTD.
INE990M03015,KALKI COMMUNICATION TECHNOLOGIES PRIVATE LTD.
INE990M03023,KALKI COMMUNICATION TECHNOLOGIES PRIVATE LTD.
INE02B001018,KALLAGAM-MEENSURUTTI HIGHWAY PRIVATE LIMITED
INE046001017,KALLAKAL FOUNDARY CASTING PRODUCTS PRIVATE LIMITED
INE0H1J01010,KALLAL LOGISTICS PRIVATE LIMITED
INE629F01025,KALLAM TEXTILES LIMITED
IN8629F01024,KALLAM TEXTILES LIMITED
INE0KDK01012,KALLAM TRANSMISSION LIMITED
INE0A2I01017,KALLOL INVESTMENTS LIMITED
IN80A2I01018,KALLOL INVESTMENTS LIMITED
INE0HI801015,KALON AGRO INDUSTRIES PRIVATE LIMITED
INE059Q01014,KALPA COMMERCIAL LIMITED
IN8059Q01013,KALPA COMMERCIAL LIMITED
INE0GCU01011,KALPADRUMA GEMS & JEWELS INDIA LIMITED
INE0L3L01016,KALPAK DEVELOPERS PRIVATE LIMITED
INE0IBS01013,KALPAM AYURVED ANCIENT INDIA LIMITED
INE0IBU01019,KALPAM AYURVED INDIA HOLDING LIMITED
INE0I0901016,KALPANA LAMPS AND COMPONENTS LIMITED
INE484L01015,KALPATARU ENGINEERING LIMITED
IN8484L01014,KALPATARU ENGINEERING LIMITED
INE0GNB07015,KALPATARU GARDENS PRIVATE LIMITED
INE0M7U01017,KALPATARU HILLS RESIDENCY PRIVATE LIMITED
INE0M7U07014,KALPATARU HILLS RESIDENCY PRIVATE LIMITED
INE0MQA01011,KALPATARU HOMES PRIVATE LIMITED
INE0MQA01029,KALPATARU HOMES PRIVATE LIMITED
INE259X07021,KALPATARU HOMES PRIVATE LIMITED
INE345P01019,KALPATARU LAND PRIVATE LIMITED
INE227J01012,KALPATARU LIMITED
INE227J04016,KALPATARU LIMITED
INE227J07027,KALPATARU LIMITED
INE02GM01017,KALPATARU METFAB PRIVATE LIMITED
IN8220B01013,KALPATARU POWER TRANSMISSION LTD
INE220B01022,KALPATARU POWER TRANSMISSION LTD
INE220B08084,KALPATARU POWER TRANSMISSION LTD
INE890A07054,KALPATARU POWER TRANSMISSION LTD
INE890A08029,KALPATARU POWER TRANSMISSION LTD
INE890A08037,KALPATARU POWER TRANSMISSION LTD
INE890A08045,KALPATARU POWER TRANSMISSION LTD
INE890A08052,KALPATARU POWER TRANSMISSION LTD
INE0K4J07016,KALPATARU PROPERTIES PRIVATE LIMITED
INE0J9E01012,KALPATECH ENGINEERS & INDUSTRIES LIMITED
INE815D01017,KALPAVRIKSHA INDUSTRIES LIMITED
IN8815D01016,KALPAVRIKSHA INDUSTRIES LIMITED
INE0DT601010,KALPEN VENTURES PRIVATE LIMITED
INE06XT01018,KALPESH ROADLINES LIMITED
INE0CDY01010,KALPIT REALTY AND SERVICES LIMITED
INE783C01019,KALPTARU PAPERS LIMITED
INE372X01017,KALRASHUKLA CLASSES PRIVATE LIMITED
INE282Z01013,KALS BEVERAGES PRIVATE LIMITED
INE281Z01015,KALS BREWERIES PRIVATE LIMITED
INE281Z07012,KALS BREWERIES PRIVATE LIMITED
INE283Z01011,KALS DISTILLERIES PRIVATE LIMITED
INE238B01024,KALS INFORMATION SYSTEMS LTD
INE0G1Z01017,KALSI CONSTRUCTION COMPANY LIMITED
INE467R01017,KALSUBAI POWER PRIVATE LIMITED
INE467R04011,KALSUBAI POWER PRIVATE LIMITED
INE0PAN01011,KALTHIA PRIYHEER INFRASTRUCTURE PRIVATE LIMITED
INE06NI01012,KALVA MARKETING AND SERVICES LIMITED
IN8303R01013,KALYAN JEWELLERS INDIA LIMITED
INE303R01014,KALYAN JEWELLERS INDIA LIMITED
INE08HC01013,KALYAN SANGAM INFRATECH LIMITED
INE0OJC01018,KALYANI ADITYA MINERAL PRIVATE LIMITED
INE0IXZ01012,KALYANI ALLOY CASTINGS LTD
INE0N6U01018,KALYANI CAST-TECH LIMITED
IN8610E01027,KALYANI COMMERCIALS LIMITED
INE610E01010,KALYANI COMMERCIALS LIMITED
INE081201019,KALYANI FINANCIAL SERVICES LIMITED
IN8314G01013,KALYANI FORGE LIMITED
INE314G01014,KALYANI FORGE LIMITED
INE0IJ301014,KALYANI FUELS LIMITED
INE0GQG01010,KALYANI INDUSTRIES LIMITED
INE05CF01013,KALYANI INFOTECH SOLUTIONS LIMITED
INE0GG701010,KALYANI INFRASTRUCTURE PROJECTS LIMITED
IN8029L01017,KALYANI INVESTMENT COMPANY LIMITED
INE029L01018,KALYANI INVESTMENT COMPANY LIMITED
IN8907A01017,KALYANI STEELS LIMITED
INE907A01026,KALYANI STEELS LIMITED
INE03UJ01012,KALYANI STRATEGIC SYSTEMS LIMITED
INE08ZQ01015,KALYANI TEA CO LTD
INE08WG01013,KALYANI TECHNOFORGE LIMITED
INE08WG01021,KALYANI TECHNOFORGE LIMITED
INE08WG03019,KALYANI TECHNOFORGE LIMITED
INE08WG03027,KALYANI TECHNOFORGE LIMITED
INE08WG03035,KALYANI TECHNOFORGE LIMITED
INE05C001014,KALYANI TECHNOLOGIES LIMITED
INE05C001022,KALYANI TECHNOLOGIES LIMITED
INE05C001030,KALYANI TECHNOLOGIES LIMITED
INE0OEC01019,KALYANI TRANSMISSION TECHNOLOGIES PRIVATE LIMITED
INE0OEC03015,KALYANI TRANSMISSION TECHNOLOGIES PRIVATE LIMITED
IN8411F01019,KAMA HOLDINGS LIMITED
INE411F01010,KAMA HOLDINGS LIMITED
INE04UT01019,KAMA REALTY (DELHI) LIMITED
INE181P01018,KAMACHI INDUSTRIES LIMITED
INE181P03014,KAMACHI INDUSTRIES LIMITED
INE181P03022,KAMACHI INDUSTRIES LIMITED
INE181P03030,KAMACHI INDUSTRIES LIMITED
INE181P03048,KAMACHI INDUSTRIES LIMITED
IN8535C01012,KAMADGIRI FASHION LIMITED
INE535C01013,KAMADGIRI FASHION LIMITED
INE0BHS01015,KAMAKSHI JUTE INDUSTRIES LIMITED
INE749G01011,KAMAKSHI TRADING COMPANY PRIVATE LIMITED
INE118N01015,KAMAL AGRI PROPERTIES PRIVATE LIMITED
INE035701015,KAMAL DISTRIBUTORS PRIVATE LIMITED
INE09K001010,KAMAL ENCON INDUSTRIES LIMITED
INE0MZY01012,KAMAL OIL AND ALLIED INDUSTRIES LIMITED
INE942Q01011,KAMALA HOSPITALITY PRIVATE LIMITED
INE923Q01011,KAMALA HOUSING PRIVATE LIMITED
INE926Q01014,KAMALA INFRAVENTURE PRIVATE LIMITED
INE943Q01019,KAMALA LEISURE CENTRE PRIVATE LIMITED
INE944Q01017,KAMALA MILLS LIMITED
INE396S01016,KAMALA ORRA BUILDCON PRIVATE LIMITED
INE924Q01019,KAMALA SPACE DEVELOPERS PRIVATE LIMITED
INE09TQ01016,KAMALA SUGAR MILLS LIMITED
INE0B2S01015,KAMALASANA PROPERTIES & SERVICES PRIVATELIMITED
INE04RM01010,KAMALJYOT INVESTMENTS LIMITED
INE0KXX01013,KAMALPUR FINANCE LIMITED
INE0G9201016,KAMANI TUBES LIMITED
IN8344D01017,KAMANWALA HOUSING CONSTRUCTION LTD
INE344D01018,KAMANWALA HOUSING CONSTRUCTION LTD
INE728D01012,KAMAR CHEMICALS & INDUSTRIES LIMITED
IN8728D01011,KAMAR CHEMICALS & INDUSTRIES LIMITED
INE363O01015,KAMARAJAR PORT LIMITED
INE363O07046,KAMARAJAR PORT LIMITED
INE363O07053,KAMARAJAR PORT LIMITED
INE363O07061,KAMARAJAR PORT LIMITED
INE363O07079,KAMARAJAR PORT LIMITED
INE363O07087,KAMARAJAR PORT LIMITED
INE363O07095,KAMARAJAR PORT LIMITED
INE363O07103,KAMARAJAR PORT LIMITED
INE176F01019,KAMARHATTY COMPANY LTD
IN8176F01018,KAMARHATTY COMPANY LTD
INE0ASK01011,KAMARHATTY INDUSTRIES LIMITED
INE0MS301017,KAMARHATTY POWER LIMITED
