ISIN,ISIN Description,,ISIN,ISIN Description
INE02PG07256,A B T LIMITED,,INE0S5901010,STANLEY OEM SOFAS LIMITED
INE02PG07264,A B T LIMITED,,INE468N07AO2,ECAP EQUITIES LIMITED
INE02PG07272,A B T LIMITED,,INE944Y08115,JORABAT SHILLONG EXPRESSWAY LIMITED
INE02PG07280,A B T LIMITED,,INF789F1AXN2,UTI MUTUAL FUND
INE02PG07298,A B T LIMITED,,IN8774D08010,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED
INE02PG07306,A B T LIMITED,,INE0N6715014,Brahma 08 2022
INE02PG07314,A B T LIMITED,,INE629D01020,BANSWARA SYNTEX LIMITED
INE02PG07322,A B T LIMITED,,INF03VN01647,WHITEOAK CAPITAL MUTUAL FUND
INE02PG07330,A B T LIMITED,,INE071603042,WEBKLIPPER TECHNOLOGIES PRIVATE LIMITED
INE02PG07348,A B T LIMITED,,INE0CI908054,UC COLOURS AND INTERMEDIATES PRIVATE LIMITED
INE02PG07355,A B T LIMITED,,INE0KZH01029,AGARWAL HOLDINGS PRIVATE LIMITED
INE02PG07363,A B T LIMITED,,INE0LRR01015,OAKTREE INFRA DEVELOPERS PRIVATE LIMITED
INE02PG07371,A B T LIMITED,,INE0LS101012,ARES SSG CAPITAL MANAGEMENT (INDIA) PRIVATE LIMITED
INE02PG07389,A B T LIMITED,,INE0LSB15033,NIMBUS 2022 SBL PERTH
INE02PG07397,A B T LIMITED,,INE03BG08047,SHOPSENSE RETAIL TECHNOLOGIES LIMITED
INE02PG07405,A B T LIMITED,,INE0MF403016,PRAGATI WAREHOUSING PRIVATE LIMITED
INE02PG07439,A B T LIMITED,,INE516Q07440,ASIRVAD MICRO FINANCE LIMITED
INE02PG07454,A B T LIMITED,,IN80J6801019,JAY JALARAM TECHNOLOGIES LIMITED
INE0JGK01017,A D S I.T. SOLUTIONS INDIA LIMITED,,INE091603014,ALPHA ALTERNATIVES HOLDINGS PRIVATE LIMITED
INE063901016,A G SUPERSTRUCTURES PRIVATE LIMITED,,INE0DBJ07150,CAPSAVE FINANCE PRIVATE LIMITED
INE063901024,A G SUPERSTRUCTURES PRIVATE LIMITED,,INE0N6W01014,CONSOLIDATED FINLEASE LIMITED
INE063901032,A G SUPERSTRUCTURES PRIVATE LIMITED,,INE0N7801011,INTELLISMART INFRASTRUCTURE PRIVATE LIMITED
INE0KA201011,A G T ELECTRONICS LIMITED,,INE296A07SD9,BAJAJ FINANCE LIMITED
INE0O6N01012,A G UNIVERSAL LIMITED,,INE459T07207,VASTU HOUSING FINANCE CORPORATION LIMITED
INE534E01020,A INFRASTRUCTURE LIMITED,,INE539K07171,HDFC CREDILA FINANCIAL SERVICES LIMITED
INE534E04016,A INFRASTRUCTURE LIMITED,,INE659R03429,ANI TECHNOLOGIES PRIVATE LIMITED
INE534E04024,A INFRASTRUCTURE LIMITED,,INE06DH03011,OFB TECH PRIVATE LIMITED
INE534E04032,A INFRASTRUCTURE LIMITED,,INE06DH03029,OFB TECH PRIVATE LIMITED
INE534E04040,A INFRASTRUCTURE LIMITED,,INE08Q203074,OPEN FINANCIAL TECHNOLOGIES PRIVATE LIMITED
IN8534E01011,A INFRASTRUCTURE LIMITED,,INE0FSS03043,LEGOR LOGISTICS PRIVATE LIMITED
IN8534E01029,A INFRASTRUCTURE LIMITED,,INE232O01020,J M BAXI PORTS & LOGISTICS PRIVATE LIMITED
INE0G0101017,A J CAPITAL LIMITED,,INF174KA1EW8,KOTAK MAHINDRA MUTUAL FUND
INE0LF001019,A J ENTERPRISES LTD,,INF174KA1FW5,KOTAK MAHINDRA MUTUAL FUND
INE0HTK01014,A J PACKAGING LIMITED,,INF174KA1FX3,KOTAK MAHINDRA MUTUAL FUND
INE701G01012,A K CAPITAL SERVICES LIMITED,,INF174KA1HI0,KOTAK MAHINDRA MUTUAL FUND
IN8701G01011,A K CAPITAL SERVICES LIMITED,,INF174KA1HV3,KOTAK MAHINDRA MUTUAL FUND
INE06FY01015,A K LUMBERS LIMITED,,INF174KA1HW1,KOTAK MAHINDRA MUTUAL FUND
INE06WB01018,A K POWER INDUSTRIES PRIVATE LIMITED,,INF174KA1HX9,KOTAK MAHINDRA MUTUAL FUND
INE04G601018,A L W ESTATE PRIVATE LTD,,INF174KA1IC1,KOTAK MAHINDRA MUTUAL FUND
INE246I01014,A LITTLE WORLD PRIVATE LIMITED,,INF174KA1IK4,KOTAK MAHINDRA MUTUAL FUND
INE0IZZ01017,A N GLOBAL LIMITED,,INF204KB1YQ1,NIPPON INDIA MUTUAL FUND
INE786Z01013,A N GREENS PRIVATE LIMITED,,IN8903U01014,SIGNATUREGLOBAL (INDIA) LIMITED
INE08QC01014,A O V EXPORTS PRIVATE LIMITED,,INE0E5U07034,SAKTHIFINANCE FINANCIAL SERVICES LIMITED
INE796V01011,A ONE TILES PRIVATE LIMITED,,INE0R5T15018,PRIME HOME LOAN TRUST IV
INE094101016,A P PROPERTIES PRIVATE LIMITED,,INE0REG01013,BHOJWANI FOOD PRODUCTS AND BEVERAGES LIMITED
INE581U01019,A P REALTECH PRIVATE LIMITED,,INE484J14SN7,GODREJ PROPERTIES LIMITED
INE04BB01017,A P SECURITAS PRIVATE LIMITED,,INE0E0403079,PEP TECHNOLOGIES PRIVATE LIMITED
INE684L01010,A POWER HIMALAYAS LIMITED,,INE0Q1K07063,ARISTO SECURITIES PRIVATE LIMITED
INE0DXO01025,A R AMBOLI DEVELOPERS PRIVATE LIMITED,,INE0QMV07014,BHARATROHAN AIRBORNE INNOVATIONS PRIVATE LIMITED
INE0CUG01011,A R G SYSTEMS LIMITED,,INE0U1501018,CORNEA PROPERTIES LIMITED
INE09MY01015,A S K CARRIERS LTD,,INE0U1M01017,DISCOVERY WEALTH MANAGEMENT SERVICES PRIVATE LIMITED
INE274U01011,A S MOLOOBHOY PRIVATE LIMITED,,INE0U1U01010,MFAR SILICON FOREST PRIVATE LIMITED
INE564M01012,A S REALBUILD PRIVATE LIMITED,,INE192A14440,TATA CONSUMER PRODUCTS LIMITED
INE141J01015,A S REALCON PRIVATE LIMITED,,INE556F14KB2,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA
INE610I01011,A S REALTECH PRIVATE LIMITED,,INE563J14BK0,ASTEC LIFESCIENCES LIMITED
INE01XR01013,A T INVOFIN INDIA PRIVATE LIMITED,,INE572O01011,ECAP SECURITIES AND INVESTMENTS LIMITED
INE01XR01021,A T INVOFIN INDIA PRIVATE LIMITED,,INE818F07252,KERALA FINANCIAL CORPORATION
INE0MOR01010,A T M ESTATES PRIVATE LIMITED,,INE818F07278,KERALA FINANCIAL CORPORATION
INE661J01012,A TO Z BROKING SERVICES PRIVATE LIMITED,,INE818F07286,KERALA FINANCIAL CORPORATION
INE357E01018,A TO Z SECURITIES LTD.,,INE976I14NX4,TATA CAPITAL LIMITED
INE944K01010,A V THOMAS AND COMPANY LIMITED,,INF0RI222894,ALPHA ALTERNATIVES MSAR LLP
INE09PS01010,A V THOMAS INVESTMENTS COMPANY LIMITED,,INF0RI222910,ALPHA ALTERNATIVES MSAR LLP
INE042W01018,A&A DUKAAN FINANCIAL SERVICES PVT LTD,,INF0RK622271,INCRED ALTERNATIVE OPPORTUNITIES TRUST
INE911Z01017,A-1ACID LIMITED,,INF0RK622297,INCRED ALTERNATIVE OPPORTUNITIES TRUST
